estrato;talhao;area;distkm;parcela;id;ncovas;nfustes;dapmed;htmed;hd;ab;vtsc;vtcc
494593;783;93,83;107,05;1259;50,76;1500;1480;14,46;21,24;23,4;25,17;206,65;241,89
494593;783;93,83;107,05;1259;62,75;1500;1480;15,62;23,14;26,02;29,61;278,94;320,5
494593;784;148,49;310,09;1260;29,47;1660;1480;9,85;14,91;15,2;11,43;62,49;76,2
494593;784;148,49;310,09;1260;41,43;1660;1480;12,24;17,46;19,18;17,76;114,39;136,24
494593;784;148,49;310,09;1260;53,45;1660;1480;13,54;23,51;24,94;21,85;193,16;226,09
494593;784;148,49;310,09;1260;66,36;1660;1480;14,39;24,91;27,96;24,85;247,33;281,5
494593;785;29,92;345,71;1261;24,8;1720;1680;7,68;9,03;10,04;7,87;25,59;32,56
494593;785;29,92;345,71;1261;37,29;1720;1680;10,71;14,94;16,02;15,31;88,59;107,77
494593;785;29,92;345,71;1261;49,51;1720;1680;12,14;19,68;20,92;19,68;145,16;169,9
494593;785;29,92;345,71;1261;62,52;1720;1680;13,55;23,09;24,74;24,62;223,2;256,46
494593;785;29,92;345,71;1262;37,29;1580;1560;12,49;17,78;18,82;19,43;133,44;158,89
494593;785;29,92;345,71;1262;49,51;1580;1560;13,78;22,18;23,18;23,72;199,03;232,97
494593;785;29,92;345,71;1262;62,52;1580;1560;14,36;23,82;25,48;25,86;243,77;280,1
494593;786;102,79;149,68;1263;24,44;1640;1620;7,74;9,17;11,04;7,69;25,62;32,52
494593;786;102,79;149,68;1263;36,93;1640;1620;11,73;14,86;16,64;17,7;99,84;122,38
494593;786;102,79;149,68;1263;49,15;1640;1620;13,37;19,78;22,02;23,06;172,66;202,11
494593;786;102,79;149,68;1263;62,16;1640;1620;14,68;22,91;26,02;27,96;255,2;293,23
494593;787;109,17;73,97;1264;26,54;1440;1300;7,78;10,58;12,12;6,37;25,4;30,97
494593;787;109,17;73,97;1264;39,88;1460;1300;12,26;15,86;17,22;15,6;91,03;108,41
494593;787;109,17;73,97;1264;50,66;1460;1300;14,05;19,06;19,98;20,5;146,42;171,38
494593;787;109,17;73,97;1264;63,14;1460;1300;15,62;23,81;25,04;25,48;238,21;273,71
494593;788;68,67;288,58;1265;26,64;1360;1320;7,44;8,61;10,76;6,08;20,43;24,91
494593;788;68,67;288,58;1265;39,98;1360;1320;12,17;15,85;19,28;15,96;96,92;115,43
494593;788;68,67;288,58;1265;50,76;1360;1320;13,55;19,91;22,76;19,98;155,01;181,44
494593;788;68,67;288,58;1265;63,24;1360;1320;14,79;24,45;27,76;23,95;239,3;274,96
494593;789;80,39;279,53;1266;25,89;1720;1780;8,82;12;13,28;11,22;50,26;61,29
494593;789;80,39;279,53;1266;39,22;1720;1780;12,49;19,29;20,34;22,72;161,68;192,56
494593;789;80,39;279,53;1266;50;1720;1780;13,35;21,28;23,16;26,12;214,39;250,94
494593;789;80,39;279,53;1266;62,48;1720;1780;14,14;24,07;27,1;29,56;291,13;334,51
494593;790;128,04;179,29;1267;25,89;1680;1640;7,86;11,06;13,2;8,26;34,61;42,21
494593;790;128,04;179,29;1267;39,22;1680;1640;11,02;15,48;19,28;16,09;94,44;112,48
494593;790;128,04;179,29;1267;50;1680;1640;11,99;19,75;22,56;19,16;145,58;170,4
494593;790;128,04;179,29;1267;62,48;1680;1640;12,73;23,41;27,24;21,72;205,81;236,47
494593;790;128,04;179,29;1268;39,22;1700;1580;13,17;19,61;21,4;22,33;163,93;195,24
494593;790;128,04;179,29;1268;50;1700;1580;14,06;20,73;23,24;25,67;206,82;242,08
494593;790;128,04;179,29;1268;62,48;1700;1580;14,94;24,07;27,78;29,26;288,16;331,1
494593;791;89,47;193,64;1269;31,93;1363,88;1250,23;10,5;13,05;15,16;11,18;56,43;70,21
494593;791;89,47;193,64;1269;46,39;1363,88;1250,23;13,65;19,02;20,46;18,93;141,77;167,23
494593;791;89,47;193,64;1269;56,77;1363,88;1250,23;14,78;22,15;23,57;22,25;207,1;238,64
494593;791;89,47;193,64;1269;67,9;1363,88;1250,23;15,66;23,76;25,9;25,09;249,99;285,36
494593;791;89,47;193,64;1270;46,39;1502,63;1527,67;11,27;17,7;20,68;16,74;130,98;153,04
494593;791;89,47;193,64;1270;56,77;1502,63;1477,59;12,09;19,63;23,6;19,37;173,72;200,18
494593;791;89,47;193,64;1270;67,9;1502,63;1477,59;12,83;20,5;25,2;21,33;199,73;227,99
494593;792;128,3;231,58;1271;32,56;1315,01;1227,34;10,39;13,95;15,02;10,56;56,85;69,89
494593;792;128,3;231,58;1271;47,01;1315,01;1227,34;13,24;19,93;21,22;17,14;135,57;158,44
494593;792;128,3;231,58;1271;57,39;1315,01;1227,34;14,32;22,58;23,64;20,1;186,38;214,76
494593;792;128,3;231,58;1271;68,53;1315,01;1227,34;15,21;23,84;25,46;22,75;223,22;254,8
494593;792;128,3;231,58;1272;32,56;1519,53;1519,53;9,24;13,4;15,8;10,82;60,36;73,61
494593;792;128,3;231,58;1272;47,01;1519,53;1519,53;11,86;17,59;19,76;18,07;131,28;155,22
494593;792;128,3;231,58;1272;57,39;1519,53;1519,53;12,78;20,67;23,42;21,2;192,11;221,37
494593;792;128,3;231,58;1272;68,53;1519,53;1519,53;13,43;22,07;25,57;23,65;231,77;264,57
494593;792;128,3;231,58;1273;47,01;1431,78;1455,64;12,62;18,62;20,36;18,72;140,53;165,36
494593;792;128,3;231,58;1273;57,39;1431,78;1431,78;13,52;22,18;22,7;21,24;195,73;225,55
494593;792;128,3;231,58;1273;68,53;1431,78;1455,64;14,47;23,08;24,83;24,82;239,82;273,75
494593;793;100,85;233,73;1274;40,11;1645,5;1563,23;10,87;15,57;17,12;14,68;89,21;107,79
494593;793;100,85;233,73;1274;50,49;1645,5;1563,23;12,03;19,21;20,35;18,04;143,14;164,92
494593;793;100,85;233,73;1274;61,63;1645,5;1563,23;12,84;21,83;24,52;20,58;186,92;213,34
494593;794;111,58;306,07;1275;27,3;1613,65;1635,76;9,76;12,49;14,36;12,35;56,49;69,84
494593;794;111,58;306,07;1275;37,58;1613,65;1635,76;12,38;16,81;17,98;19,91;127;152,99
494593;794;111,58;306,07;1275;51,41;1613,65;1635,76;14,29;22,95;24,06;26,67;243,77;278,81
494593;794;111,58;306,07;1275;63,24;1613,65;1635,76;15,18;25,11;27,08;30,16;299,98;344,69
494593;794;111,58;306,07;1276;37,58;1540;1520;12,32;16,74;16,8;18,23;115,06;138,77
494593;794;111,58;306,07;1276;51,41;1540;1520;14,19;22,76;22,76;24,36;219,01;250,49
494593;794;111,58;306,07;1276;63,24;1540;1520;15,15;25,63;27,22;27,84;280,29;322,06
494593;795;57,28;293,82;1277;27,3;1525,23;1547,34;8,37;11,22;11,98;8,65;36,61;45,5
494593;795;57,28;293,82;1277;37,58;1525,23;1547,34;10,53;14,89;16,18;13,7;80,15;97,27
494593;795;57,28;293,82;1277;51,41;1525,23;1547,34;12,64;19,78;20,6;19,85;157,23;179,83
494593;795;57,28;293,82;1277;63,24;1525,23;1547,34;13,66;22,78;23,64;23,21;207,64;238,58
494593;796;168,04;105,15;1278;27,17;1503,13;1503,13;7,53;9,8;10,52;6,8;24,81;31,22
494593;796;168,04;105,15;1278;37,45;1503,13;1503,13;10,2;14,17;15,3;12,41;68,66;83,96
