estrato;talhao;area;distkm;parcela;id;ncovas;nfustes;dapmed;htmed;hd;ab;vtsc;vtcc;sitio;licl4;lscl4;lscl3;lscl2;lscl1;cls;mudou;nmudou;ncls;s
573116;127;36,44;256,88;224;55,49;1620;1460;15,66;22,56;25,26;29,39;268,06;305,08;28,74046711;16,79726512;19,48934596;22,31637531;25,27279171;28,35369078;2;0;0;2;27,62
573116;115;72,77;212,95;201;55,62;1480;1460;14,24;21,14;22,46;23,47;185,96;217,66;26,58204165;16,84249829;19,53184396;22,35462513;25,30528298;28,37891766;2;0;1;2;27,62
573116;115;72,77;212,95;202;55,62;1500;1500;12,64;18,11;19,18;19,01;128,8;150,76;23,96197051;16,84249829;19,53184396;22,35462513;25,30528298;28,37891766;4;0;0;4;23,12
573116;128;83,2;229,54;225;55,72;1620;1580;14,12;21,63;23,96;25,62;223,17;254;27,71535301;16,87725045;19,56447997;22,38398671;25,33021473;28,39826841;2;0;0;2;27,62
573116;112;51,81;301,15;195;55,81;1458,92;1436,81;14,03;20,15;22,18;23,32;202,18;240,39;26,31972724;16,90849564;19,59381167;22,41036657;25,35260764;28,41564366;3;0;1;3;25,37
573116;112;51,81;301,15;196;55,81;1320;1340;15,2;22,85;26,48;25,66;252,77;300,54;29,58833583;16,90849564;19,59381167;22,41036657;25,35260764;28,41564366;1;0;0;1;29,87
573116;112;51,81;301,15;197;55,81;1380;1260;14,52;20,62;22,52;21,63;188,92;224,61;26,58557234;16,90849564;19,59381167;22,41036657;25,35260764;28,41564366;2;0;0;2;27,62
573116;129;91,96;347,04;226;55,81;1700;1640;14,25;22,96;26,36;27,51;257,1;292,61;29,49968727;16,90849564;19,59381167;22,41036657;25,35260764;28,41564366;1;0;1;1;29,87
573116;131;135,13;119,54;228;55,81;1440;1480;16,4;25,15;27,3;31,88;317,75;361,64;30,1904971;16,90849564;19,59381167;22,41036657;25,35260764;28,41564366;1;0;0;1;29,87
573116;139;34,57;251,59;239;56,27;1720;1600;14,11;20,82;24,28;26,41;226,8;260,6;27,84730728;17,06772126;19,74312664;22,54452447;25,46638782;28,50385579;2;0;1;2;27,62
573116;140;84,43;99,11;240;56,31;1480;1400;15,49;24,04;26,34;27,11;259,44;298,1;29,39891658;17,08152949;19,7560629;22,55613733;25,47622879;28,51147966;1;0;1;1;29,87
573116;141;22,42;133,41;241;56,31;1480;1420;15,75;23,89;27,26;29,09;283,64;325,91;30,08238612;17,08152949;19,7560629;22,55613733;25,47622879;28,51147966;1;0;0;1;29,87
